text,created_at,updated_at,original,paredao
dia deixo tv novela pouco antes perder comeco nunca consegui entender passa trama,15/03/2022 00:53:41,14/03/2022 21:54:05,Todo dia eu deixo a tv na novela pouco antes do #bbb22 pra nao perder o comeco. E nunca consegui entender o que se passa na trama de #UmLugarAoSol ,
desculpa tirar scooby realmente aguento viny deixa deprimida,15/03/2022 00:53:41,14/03/2022 21:54:05,"RT @bicmuller: Desculpa quem quer tirar o Scooby, mas eu realmente nao aguento mais o Viny, ele me deixa deprimida #bbb22",
historico gnt tanto gnt pedia help nesse cabelo gnt,15/03/2022 00:53:40,14/03/2022 21:54:05,RT @gabrielamurad19: E historico mesmo gnt. O tanto que a gnt pedia um help nesse cabelo minha gnt #BBB22 https://t.co/EEpeB59e8w,
mutirao feat iniciado comente emoji 10 votos encerra 22h voto elimi,15/03/2022 00:53:40,14/03/2022 21:54:05,"RT @PedroScooby:  MUTIRAO feat. @iampauloandre INICIADO 

 Comente um emoji a cada 10 votos.

 Encerra 22h. 
 
 O voto e para elimi...",
ver camara eli muda camara barao muda pe eli muda ora barao scoo6ta dormindo grunge poem prefiro ver dormir atuar papo eli vini lucas natalia,15/03/2022 00:53:40,14/03/2022 21:54:05,"Ai vc vai ver BBB, Camara ta no Eli, muda de camara ta NO barao, muda pe a outra Eli, muda ora outra barao, gente o Scoo6ta dormindo no grunge, poem la, prefiro ver ele dormir do que atuar papo de Eli e Vini e Lucas e Natalia #Bbb22 #RedeBbb",
lado discussao,15/03/2022 00:53:40,14/03/2022 21:54:05,"RT @mayconreality: Vcs tao do lado que nessa discussao  !?
#BBB22 https://t.co/7YS8w2OQe0",
povo vendo chagas fandom arthur mutirao votar gustavo fandom arthur desc,15/03/2022 00:53:38,14/03/2022 21:54:05,"RT @allforurbr: O povo vendo as chagas falando que o fandom do Arthur ta fazendo mutirao pra votar no Gustavo, o fandom do Arthur ta e desc...",
salto pa,15/03/2022 00:53:38,14/03/2022 21:54:05,RT @tracklist: O salto que o PA deu  #BBB22 https://t.co/C2fKEdOMJm,
lollipop passa vibe violinistas titanic barco afundando juntos,15/03/2022 00:53:38,14/03/2022 21:54:05,"RT @CentralReaIity: O Lollipop passa muito a vibe dos violinistas do Titanic, o barco afundando e eles juntos #BBB22 https://t.co/HIU0b65D6g",
lado discussao,15/03/2022 00:53:38,14/03/2022 21:54:05,"RT @mayconreality: Vcs tao do lado que nessa discussao  !?
#BBB22 https://t.co/7YS8w2OQe0",
pagina desmaiar faz tudo queimar arthur inventaram fake comparou juliette sendo,15/03/2022 00:53:36,14/03/2022 21:54:05,RT @eulisass: essa pagina Vai Desmaiar faz de tudo pra queimar o arthur!!! agora inventaram a fake que ele se comparou com a juliette sendo...,
adm lucas postou video mae vida lucas reforcando fala scooby lucas acabou d,15/03/2022 00:53:36,14/03/2022 21:54:05,"RT @liviasoares_000: Adm do Lucas postou video da mae dele falando sobre a ""vida do lucas"" so reforcando a fala do scooby .

Lucas acabou d...",
arthur perfil ideal sofa caio contradicoes hj nunca gosto joguinho,15/03/2022 00:53:36,14/03/2022 21:54:05,"O arthur perfil ideal pro sofa.
Eu nao caio mas contradicoes dele mas nao e hj nem nunca. Nao gosto desse joguinho dele #BBB22",
atencao casa relacao comadres 1 dg falou relacao pessoal linn avanca causa jogo discordia 1 1 madrugada ontem conversar dg interrompeu cortou assunto,15/03/2022 00:53:36,14/03/2022 21:54:05,"ATENCAO! 

A Casa em relacao as comadres 

1. DG falou que sua relacao pessoal com Linn nao avanca por causa dela (Jogo da Discordia).

1.1 Na madrugada de ontem, ela quis conversar com DG sobre isso, mas ele interrompeu e cortou o assunto.

#BBB22

https://t.co/1pb8IlJ5SG",
anjo arthur aguiar imuniza paulo andre,15/03/2022 00:53:35,14/03/2022 21:54:05,"RT @bbb:  Anjo #BBB22:
Arthur Aguiar imuniza Paulo Andre
#RedeBBB https://t.co/7UDG0AY102",
salto pa,15/03/2022 00:53:35,14/03/2022 21:54:05,RT @tracklist: O salto que o PA deu  #BBB22 https://t.co/C2fKEdOMJm,
viny perguntaram entrevista emparedados sentiriam saissem scooby respondeu,15/03/2022 00:53:34,14/03/2022 21:54:05,"RT @vaidesmaiar: Viny disse que perguntaram na entrevista dos emparedados do que ele sentiriam do BBB se saissem e que Scooby respondeu ""na...",
precisamos arthur bebado vezes,15/03/2022 00:53:34,14/03/2022 21:54:05,RT @falatumandita: Precisamos do Arthur bebado mais vezes!  #bbb22 https://t.co/8vd03rAq0U,
pa inacreditavel,15/03/2022 00:53:33,14/03/2022 21:54:05,RT @ZAMENZA: O PA e inacreditavel. #BBB22 https://t.co/QLFu5WbxMv,
cara alguns beneficios viny sair 1 povo dentro jura forte reprogramar rota 2 menino m,15/03/2022 00:53:33,14/03/2022 21:54:05,"RT @babi: Cara alguns beneficios do Viny sair: 

1) o povo la dentro que jura que ele e forte vai reprogramar a rota. 
2) esse menino nao m...",
gustavo macetou forca nojenta jade sabor,15/03/2022 00:53:33,14/03/2022 21:54:05,RT @ninadrii: GUSTAVO MACETOU COM FORCA A NOJENTA DA JADE QUE SABOR #BBB22 https://t.co/Il9NYSKYpS,
vyni pode chato forcado jamais vou torcer contra favor outro chato playboy bolsomi,15/03/2022 00:53:33,14/03/2022 21:54:05,"RT @mr_littlewhite: Vyni pode ser chato e forcado, mas jamais que eu vou torcer contra ele e a favor de outro chato e que e playboy bolsomi...",
tosco desmerecem qualquer coisa jess sinta expresse fala sentiu tal jeito atitude alguem,15/03/2022 00:53:33,14/03/2022 21:54:05,"RT @PeterMr: Tosco como desmerecem qualquer coisa q Jess sinta e expresse. Se ela fala q se sentiu de tal jeito por uma atitude de alguem,...",
viny perguntaram entrevista emparedados sentiriam saissem scooby respondeu,15/03/2022 00:53:32,14/03/2022 21:54:05,"RT @vaidesmaiar: Viny disse que perguntaram na entrevista dos emparedados do que ele sentiriam do BBB se saissem e que Scooby respondeu ""na...",
achei cara quarto lollipop,15/03/2022 00:53:31,14/03/2022 21:54:05,So eu achei isso aqui a cara do quarto lollipop do #bbb22? https://t.co/5086llNS8c,
parece pai grupo meninos tenta ensinar filhos escutam dao mal voltam c,15/03/2022 00:53:31,14/03/2022 21:54:05,"RT @gioewbank: O @Aguiarthur parece pai do grupo dos meninos...ele tenta ensinar, os filhos nao escutam, ai eles se dao mal e depois voltam c...",
mutirao figth grupos dinamicos,15/03/2022 00:53:30,14/03/2022 21:54:05,RT @PedroScooby:  MUTIRAO FIGTH GRUPOS DINAMICOS  #ForaVyni #FicaScooby.,#foravyni
curtida dou 1 voto vyni,15/03/2022 00:53:30,14/03/2022 21:54:05,"RT @maiconnx_: Cada curtida eu dou 1 voto no Vyni!
 
#BBB22 #ForaVyni https://t.co/4E14QmIpAH",#foravyni
scooby salvo nesse paredao escolham,15/03/2022 00:53:29,14/03/2022 21:54:05,#ForaScoobyVyniSaiDepois Quem disse isso? o Scooby ta salvo nesse paredao. escolham #ForaViny ou #ForaGustavo #BBB22,#foravyni
vyni pode chato forcado jamais vou torcer contra favor outro chato playboy bolsomi,15/03/2022 00:53:29,14/03/2022 21:54:05,"RT @mr_littlewhite: Vyni pode ser chato e forcado, mas jamais que eu vou torcer contra ele e a favor de outro chato e que e playboy bolsomi...",
scooby falou lider vip arthur pa dg vencemos,15/03/2022 00:53:29,14/03/2022 21:54:05,"RT @CruellaBBB22: scooby falou que se for lider o vip dele so vai ter arthur, PA e DG

vencemos muito
#BBB22 #RedeBBB",
sabe curioso ano passado publico criticou tanto gabinete odio ano gabinete odio,15/03/2022 00:53:28,14/03/2022 21:54:05,"RT @bruno_vieiravp: Sabe o que eu acho curioso?

Ano passado o publico CRITICOU TANTO o ""Gabinete do odio"" e esse ano, O GABINETE DO ODIO E...",
nada contra todos eliminados somente espaco fantastico demais deveria haver dif,15/03/2022 00:53:28,14/03/2022 21:54:05,RT @lizianetierrez: Nada contra a #JadePicon mas de todos eliminados somente ela ter espaco no fantastico e demais!!! Nao deveria haver dif...,
pensou aula matematica,15/03/2022 00:53:28,14/03/2022 21:54:05,Ja pensou em dar aula de matematica??? #foraScooby #FicaVyni #BBB222 https://t.co/ncmLPt6ytW,#forascooby
scooby recusando jogar jessi recusando jogar,15/03/2022 00:53:27,14/03/2022 21:54:05,"RT @BryannaNasck: Scooby se recusando a jogar: 

Jessi se recusando a jogar: 

#BBB22",
mano querem tirar gustavo cara jogo encontro fatima bernades evento confraternizacao po viny entrega oque jogo reality flopado feijao deixa gustavo bater frente arthur parada fogo parquinho msm,15/03/2022 00:53:27,14/03/2022 21:54:05,Mano querem tirar o Gustavo que isso cara isso e um jogo nao e um encontro com Fatima Bernades um evento de confraternizacao Po viny entrega oque pro jogo ao esse reality flopado feijao deixa o Gustavo pra bater de frente com o Arthur a parada e fogo no parquinho msm #BBB22,
32 anos mauricinho lucas 32 anos nunca trabalhou tendo 2 faculdade bancada pe,15/03/2022 00:53:27,14/03/2022 21:54:05,"RT @henriqxspfc: ""Tenho 32 anos, e acho que nao sou Mauricinho"" disse Lucas com 32 anos, nunca trabalhou, tendo suas 2 faculdade bancada pe...",
deus quiser vyni fica deus,15/03/2022 00:53:26,14/03/2022 21:54:05,"RT @claramzi: se deus quiser o vyni fica.
Deus: 

 #FicaVyni #ForaViny #bbtvi #bbb2022 https://t.co/w2EWprdASY",#foravyni
desgracada,15/03/2022 00:53:26,14/03/2022 21:54:05,desgracada :( #bbb22 https://t.co/dQ3Y28YR5g,
vyni pode chato forcado jamais vou torcer contra favor outro chato playboy bolsomi,15/03/2022 00:53:26,14/03/2022 21:54:05,"RT @mr_littlewhite: Vyni pode ser chato e forcado, mas jamais que eu vou torcer contra ele e a favor de outro chato e que e playboy bolsomi...",
homem 4 demais kskskks reproducao globoplay globo,15/03/2022 00:53:26,14/03/2022 21:54:05,"RT @acervo5eslus: #MomentosEslu : esse homem ta de 4 por ela demais kskskks

reproducao globoplay/globo #BBB22 https://t.co/m3mhNIORKb",
salto pa,15/03/2022 00:53:25,14/03/2022 21:54:05,RT @tracklist: O salto que o PA deu  #BBB22 https://t.co/C2fKEdOMJm,
arthur dando exemplo lealdade,15/03/2022 00:53:25,14/03/2022 21:54:05,RT @Fconegundes: Arthur dando exemplo de lealdade. #bbb22 https://t.co/HdjYsruUIC,
